Proportional Fair, 0.315643, 0.025
Proportional Fair, 0.509333, 0.05
Proportional Fair, 0.652325, 0.075
Proportional Fair, 0.679111, 0.1
Proportional Fair, 0.722327, 0.125
Proportional Fair, 0.776127, 0.15
Proportional Fair, 0.784283, 0.175
Proportional Fair, 0.847749, 0.2
Proportional Fair, 1.01867, 0.225
Proportional Fair, 1.12405, 0.25
Proportional Fair, 1.18386, 0.275
Proportional Fair, 1.24129, 0.3
Proportional Fair, 1.25912, 0.325
Proportional Fair, 1.27555, 0.35
Proportional Fair, 1.27555, 0.375
Proportional Fair, 1.27673, 0.4
Proportional Fair, 1.27833, 0.425
Proportional Fair, 1.27833, 0.45
Proportional Fair, 1.27957, 0.475
Proportional Fair, 1.28112, 0.5
Proportional Fair, 281305, 0.525
Proportional Fair, 460825, 0.55
Proportional Fair, 574121, 0.575
Proportional Fair, 611200, 0.6
Proportional Fair, 656159, 0.625
Proportional Fair, 694264, 0.65
Proportional Fair, 716250, 0.675
Proportional Fair, 756375, 0.7
Proportional Fair, 929310, 0.725
Proportional Fair, 998375, 0.75
Proportional Fair, 1.05669e+06, 0.775
Proportional Fair, 1.146e+06, 0.8
Proportional Fair, 1.15275e+06, 0.825
Proportional Fair, 1.1573e+06, 0.85
Proportional Fair, 1.17909e+06, 0.875
Proportional Fair, 1.18141e+06, 0.9
Proportional Fair, 1.18141e+06, 0.925
Proportional Fair, 1.18375e+06, 0.95
Proportional Fair, 1.18609e+06, 0.975
Proportional Fair, 1.18609e+06, 1
Proportional Fair, 0.54013, 0.025
Proportional Fair, 0.672881, 0.05
Proportional Fair, 0.700053, 0.075
Proportional Fair, 0.711016, 0.1
Proportional Fair, 0.722327, 0.125
Proportional Fair, 0.73344, 0.15
Proportional Fair, 0.802027, 0.175
Proportional Fair, 0.884995, 0.2
Proportional Fair, 1.21956, 0.225
Proportional Fair, 1.24897, 0.25
Proportional Fair, 1.25717, 0.275
Proportional Fair, 1.25912, 0.3
Proportional Fair, 1.26183, 0.325
Proportional Fair, 1.2627, 0.35
Proportional Fair, 1.26455, 0.375
Proportional Fair, 1.27108, 0.4
Proportional Fair, 1.27278, 0.425
Proportional Fair, 1.27555, 0.45
Proportional Fair, 1.27833, 0.475
Proportional Fair, 1.28112, 0.5
Proportional Fair, 487012, 0.525
Proportional Fair, 606349, 0.55
Proportional Fair, 636922, 0.575
Proportional Fair, 654857, 0.6
Proportional Fair, 656159, 0.625
Proportional Fair, 660096, 0.65
Proportional Fair, 716250, 0.675
Proportional Fair, 786339, 0.7
Proportional Fair, 1.05669e+06, 0.725
Proportional Fair, 1.15502e+06, 0.75
Proportional Fair, 1.1573e+06, 0.775
Proportional Fair, 1.16189e+06, 0.8
Proportional Fair, 1.16419e+06, 0.825
Proportional Fair, 1.17909e+06, 0.85
Proportional Fair, 1.17909e+06, 0.875
Proportional Fair, 1.18141e+06, 0.9
Proportional Fair, 1.18141e+06, 0.925
Proportional Fair, 1.18375e+06, 0.95
Proportional Fair, 1.18609e+06, 0.975
Proportional Fair, 1.18609e+06, 1
Proportional Fair, 0.692971, 0.025
Proportional Fair, 0.904401, 0.05
Proportional Fair, 0.970159, 0.075
Proportional Fair, 1.06177, 0.1
Proportional Fair, 1.1821, 0.125
Proportional Fair, 1.24626, 0.15
Proportional Fair, 1.24897, 0.175
Proportional Fair, 1.25643, 0.2
Proportional Fair, 1.25912, 0.225
Proportional Fair, 1.25912, 0.25
Proportional Fair, 1.26183, 0.275
Proportional Fair, 1.27003, 0.3
Proportional Fair, 1.27003, 0.325
Proportional Fair, 1.27108, 0.35
Proportional Fair, 1.27555, 0.375
Proportional Fair, 1.27555, 0.4
Proportional Fair, 1.27673, 0.425
Proportional Fair, 1.27833, 0.45
Proportional Fair, 1.2838, 0.475
Proportional Fair, 1.2969, 0.5
Proportional Fair, 621965, 0.525
Proportional Fair, 765495, 0.55
Proportional Fair, 874879, 0.575
Proportional Fair, 955000, 0.6
Proportional Fair, 1.07438e+06, 0.625
Proportional Fair, 1.146e+06, 0.65
Proportional Fair, 1.15275e+06, 0.675
Proportional Fair, 1.15502e+06, 0.7
Proportional Fair, 1.15959e+06, 0.725
Proportional Fair, 1.16189e+06, 0.75
Proportional Fair, 1.16419e+06, 0.775
Proportional Fair, 1.17446e+06, 0.8
Proportional Fair, 1.17677e+06, 0.825
Proportional Fair, 1.17909e+06, 0.85
Proportional Fair, 1.17909e+06, 0.875
Proportional Fair, 1.18375e+06, 0.9
Proportional Fair, 1.18375e+06, 0.925
Proportional Fair, 1.18609e+06, 0.95
Proportional Fair, 1.18609e+06, 0.975
Proportional Fair, 1.18609e+06, 1
Proportional Fair, 0.432453, 0.025
Proportional Fair, 0.434631, 0.05
Proportional Fair, 0.512895, 0.075
Proportional Fair, 0.711016, 0.1
Proportional Fair, 0.764, 0.125
Proportional Fair, 0.767426, 0.15
Proportional Fair, 0.787769, 0.175
Proportional Fair, 0.825946, 0.2
Proportional Fair, 0.82781, 0.225
Proportional Fair, 1.00732, 0.25
Proportional Fair, 1.17591, 0.275
Proportional Fair, 1.22512, 0.3
Proportional Fair, 1.25303, 0.325
Proportional Fair, 1.25303, 0.35
Proportional Fair, 1.26183, 0.375
Proportional Fair, 1.26455, 0.4
Proportional Fair, 1.27278, 0.425
Proportional Fair, 1.27507, 0.45
Proportional Fair, 1.28112, 0.475
Proportional Fair, 1.28674, 0.5
Proportional Fair, 388835, 0.525
Proportional Fair, 390387, 0.55
Proportional Fair, 447220, 0.575
Proportional Fair, 645886, 0.6
Proportional Fair, 691025, 0.625
Proportional Fair, 691025, 0.65
Proportional Fair, 708992, 0.675
Proportional Fair, 734910, 0.7
Proportional Fair, 753368, 0.725
Proportional Fair, 921651, 0.75
Proportional Fair, 1.07438e+06, 0.775
Proportional Fair, 1.11568e+06, 0.8
Proportional Fair, 1.11994e+06, 0.825
Proportional Fair, 1.12213e+06, 0.85
Proportional Fair, 1.13319e+06, 0.875
Proportional Fair, 1.18141e+06, 0.9
Proportional Fair, 1.18141e+06, 0.925
Proportional Fair, 1.18375e+06, 0.95
Proportional Fair, 1.18609e+06, 0.975
Proportional Fair, 1.18609e+06, 1
Proportional Fair, 0.32401, 0.025
Proportional Fair, 0.711016, 0.05
Proportional Fair, 0.881009, 0.075
Proportional Fair, 0.899237, 0.1
Proportional Fair, 1.02328, 0.125
Proportional Fair, 1.12122, 0.15
Proportional Fair, 1.12343, 0.175
Proportional Fair, 1.13085, 0.2
Proportional Fair, 1.24897, 0.225
Proportional Fair, 1.25169, 0.25
Proportional Fair, 1.26183, 0.275
Proportional Fair, 1.26183, 0.3
Proportional Fair, 1.26183, 0.325
Proportional Fair, 1.26455, 0.35
Proportional Fair, 1.26728, 0.375
Proportional Fair, 1.26728, 0.4
Proportional Fair, 1.27673, 0.425
Proportional Fair, 1.27833, 0.45
Proportional Fair, 1.28112, 0.475
Proportional Fair, 1.2838, 0.5
Proportional Fair, 289325, 0.525
Proportional Fair, 643368, 0.55
Proportional Fair, 785478, 0.575
Proportional Fair, 800381, 0.6
Proportional Fair, 907250, 0.625
Proportional Fair, 1.02069e+06, 0.65
Proportional Fair, 1.02663e+06, 0.675
Proportional Fair, 1.03471e+06, 0.7
Proportional Fair, 1.13994e+06, 0.725
Proportional Fair, 1.15275e+06, 0.75
Proportional Fair, 1.16189e+06, 0.775
Proportional Fair, 1.16759e+06, 0.8
Proportional Fair, 1.17216e+06, 0.825
Proportional Fair, 1.17446e+06, 0.85
Proportional Fair, 1.17909e+06, 0.875
Proportional Fair, 1.18141e+06, 0.9
Proportional Fair, 1.18375e+06, 0.925
Proportional Fair, 1.18609e+06, 0.95
Proportional Fair, 1.18609e+06, 0.975
Proportional Fair, 1.18609e+06, 1
Round Robin, 0.454034, 0.025
Round Robin, 0.523206, 0.05
Round Robin, 0.6112, 0.075
Round Robin, 0.615938, 0.1
Round Robin, 0.615938, 0.125
Round Robin, 0.722327, 0.15
Round Robin, 0.746504, 0.175
Round Robin, 0.869138, 0.2
Round Robin, 0.99562, 0.225
Round Robin, 1.00732, 0.25
Round Robin, 1.02996, 0.275
Round Robin, 1.16168, 0.3
Round Robin, 1.16684, 0.325
Round Robin, 1.20368, 0.35
Round Robin, 1.24735, 0.375
Round Robin, 1.25374, 0.4
Round Robin, 1.25993, 0.425
Round Robin, 1.26455, 0.45
Round Robin, 1.26728, 0.475
